"Taxon" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "NA"
"49" "Isoperla grammatica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 5 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0
"50" "Leuctra digitata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"51" "Leuctra fusca fusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"52" "Leuctra inermis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 18 14 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
"53" "Leuctra nigra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"54" "Leuctra prima" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"55" "Limnephilus auricula" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"56" "Limnephilus bipunctatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" "Limnephilus centralis" 1 0 0 0 0 0 0 0 3 5 5 2 1 0 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"58" "Limnephilus extricatus" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"59" "Limnephilus fuscicornis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" "Limnephilus griseus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"61" "Limnephilus hirsutus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" "Limnephilus ignavus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"63" "Limnephilus lunatus" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"64" "Limnephilus rhombicus rhombicus" 0 0 0 0 1 0 1 4 1 1 1 5 2 7 4 0 3 1 0 2 0 0 2 1 0 2 0 0 0 2 1 0 2 1 0 1 1 0 0 0 0 0 0
"65" "Limnephilus sparsus" 1 16 2 0 0 2 17 2 1 4 4 2 4 5 8 0 0 1 0 0 1 0 0 1 0 0 2 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0
"66" "Lype phaeopa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"67" "Lype reducta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"68" "Micrasema longulum" 1 1 10 6 18 0 4 7 1 0 0 0 1 2 1 1 15 3 8 25 2 0 7 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0
"69" "Micropterna lateralis" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"70" "Micropterna nycterobia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"71" "Micropterna sequax" 0 0 0 0 1 0 0 0 0 0 2 1 1 0 0 2 0 1 0 0 0 0 0 0 0 2 4 0 0 1 1 0 1 0 0 0 2 1 0 0 0 1 0
"72" "Mystacides longicornis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"73" "Mystacides nigra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"74" "Nemoura cambrica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"75" "Nemoura cinerea cinerea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"76" "Nemoura flexuosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"77" "Nemoura marginata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"78" "Nemurella pictetii" 45 49 112 506 366 31 55 41 24 8 2 19 17 1 2 26 17 51 168 98 15 40 739 1075 1129 298 255 138 183 400 91 47 41 54 14 2 35 0 27 13 18 22 0
"79" "Odontocerum albicorne" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 1 5 5 12 5 1 10 8 0
"80" "Parachiona picicornis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"81" "Paraleptophlebia submarginata" 0 0 15 17 28 17 30 188 251 7 0 0 0 0 3 5 10 4 25 12 102 578 1344 320 162 14 12 14 18 55 23 27 53 50 44 95 169 0 11 20 38 14 0
"82" "Perlodes dispar" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"83" "Perlodes microcephalus" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" "Plectrocnemia conspersa conspersa" 17 19 12 3 18 13 14 21 131 13 10 45 75 19 24 33 52 24 35 109 138 119 335 93 77 72 84 155 194 231 111 109 169 74 92 179 146 90 49 21 63 45 0
"85" "Polycentropus flavomaculatus flavomaculatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"86" "Potamophylax cingulatus cingulatus" 21 18 2 16 36 40 10 3 7 3 20 23 14 20 11 17 23 12 1 9 7 14 15 0 9 16 4 3 14 4 24 25 39 5 7 18 2 5 1 0 7 0 0
"87" "Potamophylax latipennis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"88" "Potamophylax luctuosus luctuosus" 0 1 1 9 25 6 20 5 6 7 6 0 0 1 1 2 3 5 11 5 4 16 14 11 3 3 9 14 38 31 48 42 36 55 76 31 149 21 62 35 70 55 0
"89" "Potamophylax nigricornis" 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"90" "Protonemura auberti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"91" "Protonemura intricata intricata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"92" "Protonemura meyeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"93" "Protonemura nitida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"94" "Psychomyia pusilla" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" "Ptilocolepus granulatus granulatus" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"96" "Rhyacophila fasciata fasciata" 112 72 59 45 87 39 80 40 82 97 110 310 184 78 32 37 73 33 90 109 102 72 56 9 42 93 114 52 40 0 54 31 88 104 91 24 77 52 55 58 38 39 0
"97" "Rhyacophila nubila" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" "Sericostoma flavicorne" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0
"99" "Sericostoma personatum" 214 95 56 79 193 399 166 335 426 155 136 114 105 56 38 111 56 50 28 46 88 150 265 92 249 28 89 120 143 67 206 87 95 101 161 106 98 55 50 69 144 84 0
"100" "Serratella ignita" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"101" "Silo pallipes" 21 26 2 6 23 23 0 11 25 9 47 36 13 21 4 15 9 3 12 6 18 32 11 13 4 4 6 5 13 16 39 28 107 27 52 50 30 38 25 19 25 26 0
"102" "Siphonoperla torrentium torrentium" 400 927 705 150 1270 182 186 444 284 51 73 197 118 102 75 93 223 125 113 844 244 804 733 271 2110 143 251 766 158 159 117 156 42 98 167 114 64 0 119 117 113 79 0
"103" "Stenophylax permistus" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 3 0 0
"104" "Synagapetus moselyi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"105" "Tinodes pallidulus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" "Tinodes rostocki" 3799 5032 4038 696 1428 1159 1495 1374 256 323 301 643 656 446 2268 1065 1210 875 698 1496 1616 1600 808 142 42 23 244 179 0 142 241 782 1181 1702 3173 660 687 658 714 2620 928 2022 0
"107" "Tinodes waeneri waeneri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"108" "Wormaldia occipitalis occipitalis" 2 1 4 0 3 3 2 0 6 7 4 17 6 0 2 0 1 0 1 3 8 22 59 135 548 178 151 553 1429 1494 296 620 252 415 50 270 78 16 111 148 53 108 0
"109" NA 9685 9309 7753 5019 14968 4437 6424 8586 8154 2573 7191 11323 11122 7372 4673 5827 7566 4034 8908 12057 8737 13537 16988 5818 16782 9321 8167 5162 3764 3803 3614 2566 3102 3532 3592 3643 4059 1 3393 1498 2897 2194 0
